canonical_rank,source_rank,model_id,exact_empirical_crps,cells
90,101,sv_live_baseline_zero_mean_jf_skewt_adaptive_mcmc,1.15907218,701280
91,102,bic_auto_arma_mean|egarch_1_1_volatility|student_t_standardized_innovations|parametric,1.39396099,701280
92,103,bic_auto_arma_mean|egarch_1_1_volatility|gaussian_iid_standardized_innovations|parametric,1.39445454,701280
93,104,bic_auto_arma_mean|egarch_1_1_volatility|skew_t_standardized_innovations|parametric,1.39594003,701280
94,105,bic_auto_arma_mean|egarch_1_1_volatility|empirical|iid|automated_evt_pot_gpd_tail,1.39773308,701280
95,106,factor_premium_near_zero_alpha_shrinkage|constant_sample_volatility|gaussian_iid_standardized_innovations|parametric,1.3977406,701280
96,107,expanding_sample_mean|constant_sample_volatility|gaussian_iid_standardized_innovations|parametric,1.39777906,701280
97,108,factor_premium_near_zero_alpha_shrinkage|constant_sample_volatility|empirical|stationary_bootstrap|automated_evt_pot_gpd_tail,1.39782697,701280
98,109,factor_premium_near_zero_alpha_shrinkage|constant_sample_volatility|skew_t_standardized_innovations|parametric,1.39784158,701280
99,110,factor_premium_near_zero_alpha_shrinkage|constant_sample_volatility|student_t_standardized_innovations|parametric,1.39784657,701280
100,111,expanding_sample_mean|constant_sample_volatility|empirical|stationary_bootstrap|automated_evt_pot_gpd_tail,1.39786348,701280
101,112,expanding_sample_mean|constant_sample_volatility|skew_t_standardized_innovations|parametric,1.39788093,701280
102,113,expanding_sample_mean|constant_sample_volatility|student_t_standardized_innovations|parametric,1.39788496,701280
103,114,bic_auto_arma_mean|egarch_1_1_volatility|empirical|iid|filtered_empirical_tail,1.39800376,701280
104,115,factor_premium_near_zero_alpha_shrinkage|constant_sample_volatility|empirical|iid|filtered_empirical_tail,1.39813543,701280
105,116,factor_premium_near_zero_alpha_shrinkage|constant_sample_volatility|empirical|stationary_bootstrap|filtered_empirical_tail,1.39814213,701280
106,117,factor_premium_near_zero_alpha_shrinkage|constant_sample_volatility|empirical|iid|automated_evt_pot_gpd_tail,1.39814892,701280
107,118,factor_premium_near_zero_alpha_shrinkage|egarch_1_1_volatility|empirical|stationary_bootstrap|automated_evt_pot_gpd_tail,1.39816009,701280
108,119,expanding_sample_mean|constant_sample_volatility|empirical|iid|filtered_empirical_tail,1.39817046,701280
109,120,expanding_sample_mean|constant_sample_volatility|empirical|stationary_bootstrap|filtered_empirical_tail,1.39817791,701280
110,121,expanding_sample_mean|egarch_1_1_volatility|empirical|stationary_bootstrap|automated_evt_pot_gpd_tail,1.39818147,701280
111,122,expanding_sample_mean|constant_sample_volatility|empirical|iid|automated_evt_pot_gpd_tail,1.39818565,701280
112,123,factor_premium_near_zero_alpha_shrinkage|egarch_1_1_volatility|gaussian_iid_standardized_innovations|parametric,1.39826282,701280
113,124,expanding_sample_mean|egarch_1_1_volatility|gaussian_iid_standardized_innovations|parametric,1.39826976,701280
114,125,portfolio_gjr_garch_eb_sampler_moving_block_optimal,1.3983256,701280
115,126,factor_premium_near_zero_alpha_shrinkage|garch_1_1_volatility|gaussian_iid_standardized_innovations|parametric,1.3983353,701280
116,127,factor_premium_near_zero_alpha_shrinkage|garch_1_1_volatility|empirical|stationary_bootstrap|automated_evt_pot_gpd_tail,1.39834708,701280
117,128,expanding_sample_mean|garch_1_1_volatility|gaussian_iid_standardized_innovations|parametric,1.3983787,701280
118,129,expanding_sample_mean|garch_1_1_volatility|empirical|stationary_bootstrap|automated_evt_pot_gpd_tail,1.39838676,701280
119,130,factor_premium_near_zero_alpha_shrinkage|gjr_tarch_1_1_volatility|empirical|stationary_bootstrap|automated_evt_pot_gpd_tail,1.398439,701280
120,131,expanding_sample_mean|gjr_tarch_1_1_volatility|empirical|stationary_bootstrap|automated_evt_pot_gpd_tail,1.39845627,701280
121,132,factor_premium_near_zero_alpha_shrinkage|gjr_tarch_1_1_volatility|gaussian_iid_standardized_innovations|parametric,1.39847451,701280
122,133,expanding_sample_mean|gjr_tarch_1_1_volatility|gaussian_iid_standardized_innovations|parametric,1.39849893,701280
123,134,factor_premium_near_zero_alpha_shrinkage|garch_1_1_volatility|empirical|iid|filtered_empirical_tail,1.39853226,701280
124,135,factor_premium_near_zero_alpha_shrinkage|garch_1_1_volatility|empirical|iid|automated_evt_pot_gpd_tail,1.39855419,701280
125,136,factor_premium_near_zero_alpha_shrinkage|garch_1_1_volatility|empirical|stationary_bootstrap|filtered_empirical_tail,1.39855589,701280
126,137,expanding_sample_mean|garch_1_1_volatility|empirical|iid|filtered_empirical_tail,1.39856596,701280
127,138,factor_premium_near_zero_alpha_shrinkage|gjr_tarch_1_1_volatility|empirical|iid|filtered_empirical_tail,1.3985858,701280
128,139,expanding_sample_mean|garch_1_1_volatility|empirical|stationary_bootstrap|filtered_empirical_tail,1.39859132,701280
129,140,expanding_sample_mean|garch_1_1_volatility|empirical|iid|automated_evt_pot_gpd_tail,1.3985956,701280
130,141,expanding_sample_mean|gjr_tarch_1_1_volatility|empirical|iid|filtered_empirical_tail,1.39860007,701280
131,142,factor_premium_near_zero_alpha_shrinkage|garch_1_1_volatility|student_t_standardized_innovations|parametric,1.39860392,701280
132,143,factor_premium_near_zero_alpha_shrinkage|gjr_tarch_1_1_volatility|empirical|iid|automated_evt_pot_gpd_tail,1.39860879,701280
133,144,factor_premium_near_zero_alpha_shrinkage|gjr_tarch_1_1_volatility|empirical|stationary_bootstrap|filtered_empirical_tail,1.39861459,701280
134,145,expanding_sample_mean|gjr_tarch_1_1_volatility|empirical|iid|automated_evt_pot_gpd_tail,1.39862837,701280
135,146,expanding_sample_mean|gjr_tarch_1_1_volatility|empirical|stationary_bootstrap|filtered_empirical_tail,1.3986305,701280
136,147,factor_premium_near_zero_alpha_shrinkage|garch_1_1_volatility|skew_t_standardized_innovations|parametric,1.39863429,701280
137,148,factor_premium_near_zero_alpha_shrinkage|egarch_1_1_volatility|empirical|iid|filtered_empirical_tail,1.39863823,701280
138,149,expanding_sample_mean|garch_1_1_volatility|student_t_standardized_innovations|parametric,1.39864127,701280
139,150,factor_premium_near_zero_alpha_shrinkage|egarch_1_1_volatility|empirical|iid|automated_evt_pot_gpd_tail,1.39864773,701280
140,151,expanding_sample_mean|egarch_1_1_volatility|empirical|iid|filtered_empirical_tail,1.39865391,701280
141,152,expanding_sample_mean|garch_1_1_volatility|skew_t_standardized_innovations|parametric,1.39865497,701280
142,153,factor_premium_near_zero_alpha_shrinkage|egarch_1_1_volatility|empirical|stationary_bootstrap|filtered_empirical_tail,1.39865527,701280
143,154,expanding_sample_mean|egarch_1_1_volatility|empirical|iid|automated_evt_pot_gpd_tail,1.39867593,701280
144,155,expanding_sample_mean|egarch_1_1_volatility|empirical|stationary_bootstrap|filtered_empirical_tail,1.39867724,701280
145,156,expanding_sample_mean|gjr_tarch_1_1_volatility|skew_t_standardized_innovations|parametric,1.39868503,701280
146,157,factor_premium_near_zero_alpha_shrinkage|gjr_tarch_1_1_volatility|skew_t_standardized_innovations|parametric,1.39869491,701280
147,158,factor_premium_near_zero_alpha_shrinkage|gjr_tarch_1_1_volatility|student_t_standardized_innovations|parametric,1.3987094,701280
148,159,factor_premium_near_zero_alpha_shrinkage|egarch_1_1_volatility|student_t_standardized_innovations|parametric,1.39871316,701280
149,160,factor_premium_near_zero_alpha_shrinkage|egarch_1_1_volatility|skew_t_standardized_innovations|parametric,1.39872984,701280
150,161,expanding_sample_mean|gjr_tarch_1_1_volatility|student_t_standardized_innovations|parametric,1.39873557,701280
151,162,expanding_sample_mean|egarch_1_1_volatility|student_t_standardized_innovations|parametric,1.39873901,701280
152,163,expanding_sample_mean|egarch_1_1_volatility|skew_t_standardized_innovations|parametric,1.39874462,701280
153,164,bic_auto_arma_mean|constant_sample_volatility|empirical|stationary_bootstrap|automated_evt_pot_gpd_tail,1.39877438,701280
154,165,bic_auto_arma_mean|constant_sample_volatility|gaussian_iid_standardized_innovations|parametric,1.39877705,701280
155,166,bic_auto_arma_mean|gjr_tarch_1_1_volatility|empirical|stationary_bootstrap|automated_evt_pot_gpd_tail,1.39878198,701280
156,167,bic_auto_arma_mean|garch_1_1_volatility|empirical|stationary_bootstrap|automated_evt_pot_gpd_tail,1.39883756,701280
157,168,bic_auto_arma_mean|gjr_tarch_1_1_volatility|skew_t_standardized_innovations|parametric,1.39884948,701280
158,169,bic_auto_arma_mean|constant_sample_volatility|student_t_standardized_innovations|parametric,1.39885853,701280
159,170,bic_auto_arma_mean|constant_sample_volatility|skew_t_standardized_innovations|parametric,1.3988592,701280
160,171,bic_auto_arma_mean|garch_1_1_volatility|gaussian_iid_standardized_innovations|parametric,1.39886045,701280
161,172,bic_auto_arma_mean|gjr_tarch_1_1_volatility|gaussian_iid_standardized_innovations|parametric,1.39886107,701280
162,173,bic_auto_arma_mean|constant_sample_volatility|empirical|stationary_bootstrap|filtered_empirical_tail,1.39889213,701280
163,174,bic_auto_arma_mean|constant_sample_volatility|empirical|iid|filtered_empirical_tail,1.39889414,701280
164,175,bic_auto_arma_mean|constant_sample_volatility|empirical|iid|automated_evt_pot_gpd_tail,1.39890153,701280
165,176,bic_auto_arma_mean|garch_1_1_volatility|skew_t_standardized_innovations|parametric,1.3989039,701280
166,177,bic_auto_arma_mean|gjr_tarch_1_1_volatility|empirical|iid|filtered_empirical_tail,1.39890439,701280
167,178,bic_auto_arma_mean|gjr_tarch_1_1_volatility|empirical|stationary_bootstrap|filtered_empirical_tail,1.3989068,701280
168,179,bic_auto_arma_mean|gjr_tarch_1_1_volatility|empirical|iid|automated_evt_pot_gpd_tail,1.39891315,701280
169,180,bic_auto_arma_mean|garch_1_1_volatility|student_t_standardized_innovations|parametric,1.39891848,701280
170,181,bic_auto_arma_mean|gjr_tarch_1_1_volatility|student_t_standardized_innovations|parametric,1.39894933,701280
171,182,bic_auto_arma_mean|garch_1_1_volatility|empirical|stationary_bootstrap|filtered_empirical_tail,1.39895289,701280
172,183,bic_auto_arma_mean|garch_1_1_volatility|empirical|iid|filtered_empirical_tail,1.39895934,701280
173,184,bic_auto_arma_mean|garch_1_1_volatility|empirical|iid|automated_evt_pot_gpd_tail,1.39896547,701280
174,185,bic_auto_arma_mean|egarch_1_1_volatility|empirical|stationary_bootstrap|automated_evt_pot_gpd_tail,1.39934064,701280
175,186,bic_auto_arma_mean|egarch_1_1_volatility|empirical|stationary_bootstrap|filtered_empirical_tail,1.39988609,701280
