portfolio_name,portfolio_index,rebalance,equity_1,equity_2,fixed_income_1,fixed_income_2,alternatives_1,alternatives_2,common_return_count,max_daily_horizon,rolling_origin_count,temporal_holdout_count
equal_class_history_001,1,annually,IWMSIM,XLPSIM,IEISIM,ZROZSIM,GLDSIM,REITSIM,11687,8766,48,3
equal_class_history_002,2,annually,SPXUSIM,TNASIM,SHYSIM,TLTSIM,GSGSIM,SLVSIM,11687,8766,48,3
equal_class_history_003,3,monthly,VTISIM,XLESIM,IEFSIM,SHYSIM,GSGSIM,REITSIM,11687,8766,48,3
equal_class_history_004,4,none,VTVSIM,XLVSIM,IEFSIM,IEISIM,GLDSIM,SLVSIM,11687,8766,48,3
equal_class_history_005,5,annually,UGLSIM,VBRSIM,TLTSIM,ZROZSIM,REITSIM,SLVSIM,11687,8766,48,3
equal_class_history_006,6,none,SPMOSIM,XLISIM,IEISIM,SHYSIM,GLDSIM,GSGSIM,11687,8766,48,3
equal_class_history_007,7,quarterly,VOSIM,VTSIM,IEFSIM,TLTSIM,GLDSIM,GSGSIM,11687,8766,48,3
equal_class_history_008,8,monthly,VOOSIM,VOTSIM,SHYSIM,ZROZSIM,REITSIM,SLVSIM,11687,8766,48,3
equal_class_history_009,9,monthly,UPROSIM,URTHSIM,IEFSIM,IEISIM,GSGSIM,SLVSIM,11687,8766,48,3
equal_class_history_010,10,monthly,VEASIM,VUGSIM,TLTSIM,ZROZSIM,GLDSIM,REITSIM,11687,8766,48,3
equal_class_history_011,11,monthly,VBKSIM,XLFSIM,SHYSIM,TLTSIM,GSGSIM,REITSIM,11687,8766,48,3
equal_class_history_012,12,annually,IWCSIM,UWMSIM,IEFSIM,IEISIM,GLDSIM,SLVSIM,11687,8766,48,3
equal_class_history_013,13,quarterly,VBSIM,VVSIM,IEISIM,ZROZSIM,REITSIM,SLVSIM,11687,8766,48,3
equal_class_history_014,14,monthly,TYDSIM,XLBSIM,IEFSIM,SHYSIM,GLDSIM,GSGSIM,11687,8766,48,3
equal_class_history_015,15,none,TECLSIM,XLKSIM,TLTSIM,ZROZSIM,GLDSIM,REITSIM,11687,8766,48,3
equal_class_history_016,16,none,SDSSIM,VXUSSIM,IEISIM,TLTSIM,GSGSIM,SLVSIM,11687,8766,48,3
equal_class_history_017,17,monthly,SPXLSIM,SPYSIM,SHYSIM,ZROZSIM,REITSIM,SLVSIM,11687,8766,48,3
equal_class_history_018,18,annually,SSOSIM,UBTSIM,IEFSIM,IEISIM,GLDSIM,GSGSIM,11687,8766,48,3
equal_class_history_019,19,none,TMFSIM,XLUSIM,IEFSIM,ZROZSIM,REITSIM,SLVSIM,11687,8766,48,3
equal_class_history_020,20,monthly,URTYSIM,XLCSIM,SHYSIM,TLTSIM,GLDSIM,GSGSIM,11687,8766,48,3
